Title,Location,Company,Salary,Rating,Summary
"Co-op, Computational Sciences Bioinformatics",Remote,Moderna,None,3.8,"The Company’s platform builds on continuous advances in basic and applied mRNA science, delivery technology and manufacturing, providing Moderna the capability…"
Bioinformatics Associate,"Emeryville, CA 94608",Sound Agriculture,None,None,"A Master’s degree, or Bachelor’s with 2 years of working experience in bioinformatics or computational biology."
Bioinformatics Programmernew,"Rockville, MD 20850 (Town Center area)",EMMES,None,3.3,Emmes is seeking a Bioinformatics Programmer to support studies with bioinformatics data management and analysis components.
Associate Bioinformatics Programmernew,"Rockville, MD 20850 (Town Center area)",EMMES,None,3.3,Emmes is seeking an Associate Bioinformatics Programmer to support studies with bioinformatics data management and analysis components.
Bioinformatics Associate,"Boston, MA",JOYN BIO,None,None,The Bioinformatics research associate will work as part of the computational biology and data science department in their efforts to provide bioinformatics…
"IT Analyst Programmer, Senior - Bioinformatics","Rochester, MN 55901",Mayo Clinic,None,4.1,The individual will have the opportunity to work with a high-performing team dedicated to building analytical software for NextGen Sequencing data analysis.
Board Director Remote,Remote,Admera Health,None,3.2,Our goal is to fulfill unmet medical needs with cost-effective tests and accurate analysis that guide patient care by utilizing next generation genomics…
Biostatistician,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,None,4.2,"The employee will use professional bioinformatics concepts, apply computational procedures to resolve a variety of analysis and research issues, work on…"
Somatic Curator - REMOTE,"Branford, CT 06405",SEMA4,None,2.7,"Sema4 believes that patients should be treated as partners, and that data should be shared for the benefit of all."
Quality Control Variant Review Scientist,Remote,Exact Sciences Corporation,None,3.0,"The Quality Control, Variant Review Scientist will perform quality control and result review of the next generation sequencing (NGS) output files generated by…"
Customer Success Scientist/Engineer,"Austin, TX",Scismic,None,None,Client consultations to ensure best practice translation of their workflows into our proprietary science platform.
R&D Bioinformatician,"Houston, TX 77030 (Medical area)","OraSure Technologies, Inc.",None,3.3,"A clear passion of ‘omics science, data analysis, and problem solving.Team members who fill Bioinformatician roles will be responsible for the bioinformatic…"
Statistical Analystnew,"Dallas, TX 75219 (Oak Lawn area)",American Heart Association,None,3.8,"Analyzes data using a variety of statistical methods such as, logistic, and linear regression; GEE or random effects models for longitudinal or multilevel…"
Software Product Manager –Bioinformatics,"Los Angeles, CA 90001",Thermo Fisher Scientific,None,3.5,"Familiarity with genomics, Next Generation Sequencing (NGS), molecular biology products, and analysis software."
Senior Bioinformatics analyst,"Watertown, MA",Fluent BioSciences Inc,None,None,The candidate will be expected to proactively plan for the analysis of a variety of NGS data types and implement cutting edge analysis algorithms into…
