Title,Location,Company,Salary,Summary
Senior DevOps Engineer (Job Code 88327),None,None,"$140,000 - $190,000 a year","Automate, implement, and improve processes where necessary."
Sr. Research Data Analyst,None,None,"$55,200 - $96,600 a year","This will include analyzing large-scale datasets using advanced bioinformatic tools, developing and implementing novel computational approaches for data…"
"Senior Statistical Programmer, Biomarker - FSP",None,None,None,"Statistical programmers work collaboratively with bioinformatics, biomarker scientists, and data management to ensure the efficient, high-quality production of…"
Principal Machine Learning Researcher,None,None,"From $170,000 a year","Understanding of explainability and interpretability in machine learning models, and experience with techniques like feature importance analysis or model…"
Staff Machine Learning Scientist (Remote),None,None,None,Experience in NGS data analysis and bioinformatic pipelines.
"Claims Data Analyst, Remote/Hybrid",None,None,None,"In addition, the job will include performance (with guidance from the lead investigators and from statisticians) of complicated statistical analysis—including…"
"Senior Software Engineer, Fullstack – Precision Care",None,None,None,"Collaborate with product, design, data science, and our scientific teams to build cutting-edge experiences and services."
"Staff Software Engineer, Infrastructure (Remote)",None,None,None,"B.S. or M.S. in computer science or a related technical field, or comparable experience."
Senior Fullstack Engineer at Stealth Life Science Startup,None,None,None,"Genomic data require expensive laboratories, sophisticated computational infrastructure, and big teams to produce and analyze."
Senior Statistical Programmer - FSP,None,None,None,"Perform, plan and co-ordinate the following for complex studies: (1) the programming, testing, and documentation of statistical programs for use in creating…"
Senior Applied Scientist | Growth,None,None,None,"You will partner closely with marketing, finance, and engineering counterparts across experimental design, implementation, execution, and analysis."
"Senior Computational Biologist, Cancer Proteomics and Immunology (Remote)",None,None,None,Build bioinformatics pipelines and bespoke computational tools to enable reproducible research analysis.
AI/ML Engineer - DNA & RNA design,None,None,None,"PhD in artificial intelligence, computer science, synthetic biology, computational biology, genomics, bioinformatics, quantitative biology, chemical engineering…"
"AI/ML Engineer, Protein Design",None,None,"From $110,000 a year","PhD in bioengineering, computer science, math, biophysics, computational biology, bioinformatics, chemical engineering, or related field."
"Sr. Scientist, Oncology Biomarker Discovery",None,None,"$127,590 - $146,160 a year",Experience working in teams and consistently delivering results.
Senior DevOps Engineer (Job Code 88327),None,None,"$140,000 - $190,000 a year",Position: Senior DevOps Engineer (Job Code 88327).
Sr. Research Data Analyst,None,None,"$55,200 - $96,600 a year","This will include analyzing large-scale datasets using advanced bioinformatic tools, developing and implementing novel computational approaches for data…"
"Senior Statistical Programmer, Biomarker - FSP",None,None,None,"Statistical programmers work collaboratively with bioinformatics, biomarker scientists, and data management to ensure the efficient, high-quality production of…"
Principal Machine Learning Researcher,None,None,"From $170,000 a year","Exposure to computational biology, bioinformatics, protein engineering, DNA synthesis, & more: very welcome but not required."
Staff Machine Learning Scientist (Remote),None,None,None,Experience in NGS data analysis and bioinformatic pipelines.
"Claims Data Analyst, Remote/Hybrid",None,None,None,"In addition, the job will include performance (with guidance from the lead investigators and from statisticians) of complicated statistical analysis—including…"
"Senior Software Engineer, Fullstack – Precision Care",None,None,None,"Collaborate with product, design, data science, and our scientific teams to build cutting-edge experiences and services."
"Staff Software Engineer, Infrastructure (Remote)",None,None,None,"B.S. or M.S. in computer science or a related technical field, or comparable experience."
Senior Fullstack Engineer at Stealth Life Science Startup,None,None,None,"Our founders each have ~20 years of experience in life sciences, genomic data generation and analysis, and AI/ML and data science."
Senior Statistical Programmer - FSP,None,None,None,We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world.
Senior Applied Scientist | Growth,None,None,None,"You will partner closely with marketing, finance, and engineering counterparts across experimental design, implementation, execution, and analysis."
"Senior Computational Biologist, Cancer Proteomics and Immunology (Remote)",None,None,None,Build bioinformatics pipelines and bespoke computational tools to enable reproducible research analysis.
AI/ML Engineer - DNA & RNA design,None,None,None,"PhD in artificial intelligence, computer science, synthetic biology, computational biology, genomics, bioinformatics, quantitative biology, chemical engineering…"
"AI/ML Engineer, Protein Design",None,None,"From $110,000 a year","PhD in bioengineering, computer science, math, biophysics, computational biology, bioinformatics, chemical engineering, or related field."
"Sr. Scientist, Oncology Biomarker Discovery",None,None,"$127,590 - $146,160 a year",Experience working in teams and consistently delivering results.
"Research & Development Scientist / Senior Scientist, Molecular Genomics (USA Based - Remote)",None,None,None,"Minimum of four years working in an assay development environment, bioinformatics, and data analysis."
Field Application Scientist - Texas,None,None,None,Experience performing bioinformatic analysis with genomics datasets preferred.
"Director of Research & Development, Assay Development, Molecular Genetics (USA Based - Remote)",None,None,None,"Experience with data analysis of large data sets, preferably in-depth analysis of NGS data using analysis packages such as R, Python, or JMP."
"Director of Bioinformatics, Genomic Scientist - Ph. D. (USA Based-Remote)",None,None,None,"Establish processes for data gathering, storage, analysis; and blending both open-source, third party and proprietary computational algorithms."
"Product Manager, Platform",None,None,None,"Synthesize and translate needs gathered from commercial and science teams into feasible, digestible project plans."
Genomics Software Engineer,None,None,None,"Experience with the analysis analysis of high-throughput sequencing data (e.g., quality control, mapping, variant calling)."
Field Application Scientist,None,None,None,"And in development, the PX platform leverages Singular's proprietary sequencing technology, applying it as a multi-omic in-situ readout for RNA and proteins for…"
Software Engineer,None,None,None,"The role entails developing scalable analysis pipelines, backend web services, and tooling for low-pass sequencing data."
ServiceNow Developer,None,None,None,"Bachelor’s degree in computer science, information technology, computer information systems, or a similar field,."
Data Integration Engineer - Remote,None,None,None,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
Post Doctoral Associate,None,None,None,Please submit a cover letter and CV listing three references by email to Guocai Zhong at Guocai.Zhong@umassmed.edu.
"Postdoctoral Fellow, remote- Psychiatric Genetics/Addiction",None,None,"$47,600 - $65,000 a year","Candidates with skills in data management and analysis (R, Python, SAS), computer science (R, Python, Linux) and statistics are strongly encouraged to apply."
Sr. DevOps Engineer,None,None,None,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Bioinformatics Scientist,None,None,None,"Train employees on data science, dry-lab, and bioinformatic best practices."
"Staff Software Engineer, Infrastructure for Bioinformatics",None,None,None,"You have a demonstrated interest in bioinformatics, computational biology or health data."
"Manager, Customer Success Management, QDI (Bioinformatics Software and Knowledgebase Applications)",None,None,None,None
Data Scientist,None,None,None,None
Digitalents Graduate Program - Computational Scientist,None,None,None,None
Computational Biologist - Biopharma,None,None,None,None
Data Implementation Engineer,None,None,None,None
"Manager I, Regulatory Affairs - Bioinformatics - Pharmacovigilance",None,None,None,None
Chief of the Applied Clinical Informatics Branch (ACIB),None,None,None,None
Sr/Clinical Data Manager,None,None,None,None
"Scientist, Assistant Bioinformatics, School of Medicine Neurology",None,None,None,None
Data Integration Engineer - Remote,None,None,None,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
Post Doctoral Associate,None,None,None,Please submit a cover letter and CV listing three references by email to Guocai Zhong at Guocai.Zhong@umassmed.edu.
"Postdoctoral Fellow, remote- Psychiatric Genetics/Addiction",None,None,"$47,600 - $65,000 a year","Candidates with skills in data management and analysis (R, Python, SAS), computer science (R, Python, Linux) and statistics are strongly encouraged to apply."
Sr. DevOps Engineer,None,None,None,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Bioinformatics Scientist,None,None,None,"Train employees on data science, dry-lab, and bioinformatic best practices."
"Staff Software Engineer, Infrastructure for Bioinformatics",None,None,None,"You have a demonstrated interest in bioinformatics, computational biology or health data."
"Manager, Customer Success Management, QDI (Bioinformatics Software and Knowledgebase Applications)",None,None,None,"Proven experience in managing a team of Customer Success Managers or similar role in the pharmaceutical industry, preferably in the field of molecular biology…"
Data Scientist,None,None,None,"Core and Technical Competencies, to be successful in this role, you should:"
Digitalents Graduate Program - Computational Scientist,None,None,None,"The ideal candidate should have a background and interest in data science, artificial intelligence, bioinformatics, biomedical engineering, or computational…"
Computational Biologist - Biopharma,None,None,None,"First-hand technical experience in at least two of the following areas: synthetic biology, bioinformatics, data science, RNA biology, transcriptomics,…"
Data Implementation Engineer,None,None,None,"Document implementation steps, deploy and utilize tools created by our Product and Engineering teams."
"Manager I, Regulatory Affairs - Bioinformatics - Pharmacovigilance",None,None,None,"The position will require a specialized knowledge of animal health, in addition to regulatory requirements related to signal management, epidemiological…"
Chief of the Applied Clinical Informatics Branch (ACIB),None,None,None,"Specifically, this position will manage a budget and oversee a substantial staff in a range of Federal appointment authorities and contracts that have…"
Sr/Clinical Data Manager,None,None,None,We are driven by a passion for science and compassion for patients.
"Scientist, Assistant Bioinformatics, School of Medicine Neurology",None,None,None,"PhD in bioinformatics, computer science, biological or physical science and three years of experience."
Data Integration Engineer - Remote,None,None,None,"Detail-oriented and proficient in data analysis, with a keen interest in data manipulation and ability to see beyond the data and draw conclusions."
Post Doctoral Associate,None,None,None,"PhD in cellular and molecular biology, cellular and molecular physiology, biochemistry or related biological/biomedical science."
"Postdoctoral Fellow, remote- Psychiatric Genetics/Addiction",None,None,"$47,600 - $65,000 a year","Candidates with skills in data management and analysis (R, Python, SAS), computer science (R, Python, Linux) and statistics are strongly encouraged to apply."
Sr. DevOps Engineer,None,None,None,"Planning, analysis, design, implementation and maintenance of networks, virtual machines, container solutions, storage, open source applications, and variety of…"
Bioinformatics Scientist,None,None,None,"Train employees on data science, dry-lab, and bioinformatic best practices."
"Staff Software Engineer, Infrastructure for Bioinformatics",None,None,None,"You have a demonstrated interest in bioinformatics, computational biology or health data."
"Manager, Customer Success Management, QDI (Bioinformatics Software and Knowledgebase Applications)",None,None,None,"Proven experience in managing a team of Customer Success Managers or similar role in the pharmaceutical industry, preferably in the field of molecular biology…"
Data Scientist,None,None,None,"You can perform techniques to validate the quality of the data, and can fuse data from various sources using knowledge of data pre-processing techniques."
Digitalents Graduate Program - Computational Scientist,None,None,None,"The ideal candidate should have a background and interest in data science, artificial intelligence, bioinformatics, biomedical engineering, or computational…"
Computational Biologist - Biopharma,None,None,None,"First-hand technical experience in at least two of the following areas: synthetic biology, bioinformatics, data science, RNA biology, transcriptomics,…"
Data Implementation Engineer,None,None,None,"Document implementation steps, deploy and utilize tools created by our Product and Engineering teams."
"Manager I, Regulatory Affairs - Bioinformatics - Pharmacovigilance",None,None,None,"The position will require a specialized knowledge of animal health, in addition to regulatory requirements related to signal management, epidemiological…"
Chief of the Applied Clinical Informatics Branch (ACIB),None,None,None,"Specifically, this position will manage a budget and oversee a substantial staff in a range of Federal appointment authorities and contracts that have…"
Sr/Clinical Data Manager,None,None,None,"Orca Bio's investigational, high-precision cell therapies are designed to replace a patient's compromised blood and immune system with a healthy one, while…"
"Scientist, Assistant Bioinformatics, School of Medicine Neurology",None,None,None,"PhD in bioinformatics, computer science, biological or physical science and three years of experience."
