Title,Location,Company,Salary,Summary
Computational Biology Co-Op- Remote,None,"BI Pharmaceuticals, Inc.",Part-time,"Completed coursework in biology, especially molecular biology or bioinformatics."
Bioinformatics UI/UX Designer QDI,Remote,Qiagen,$130 - $180 a day,Conduct market research to stay abreast of the latest trends and technologies in life science software and bioinformatics.
"Computational Biologist, Junior",None,Booz Allen Hamilton,"$58,400 - $133,000 a year","Ability to ensure delivery of consistent and reproducible bioinformatic data analysis, analysis pipelines, programming and source code, informatics products,…"
Data Scientist,None,Sanofi,None,AI and Deep Analytics (AIDA) is a critical group in Digital and Data Science (DDS) organization at Sanofi focused on applications of AI/ML and Deep Learning (DL…
Sr/Clinical Data Manager,None,Orca Bio,"$130,000 - $160,000 a year","Orca Bio's investigational, high-precision cell therapies are designed to replace a patient's compromised blood and immune system with a healthy one, while…"
Bioinformatics Engineer,Remote,Ginkgo Bioworks,"From $110,000 a year",Interface with software engineers to create and implement NGS data analysis pipelines for production use.
Research Biostatistician,None,MD Anderson Cancer Center,Full-time,"The primary purpose of the Research Biostatistician position is to carry out data preparation responsibilities related to cancer clinical trials, develop…"
"Claims Data Analyst, Remote/Hybrid",None,University of California San Francisco,Full-time,"In addition, the job will include performance (with guidance from the lead investigators and from statisticians) of complicated statistical analysis—including…"
Digitalents Graduate Program - Computational Scientist,None,Sanofi,None,"The ideal candidate should have a background and interest in data science, artificial intelligence, bioinformatics, biomedical engineering, or computational…"
Online Instructor - Biology,None,State of Louisiana,Part-time,"Acceptable disciplines and coursework include but are not limited to: agricultural sciences (i.e. agronomy), anatomy, biochemistry, biology, bioengineering,…"
"Senior/Staff Scientist, Bioinformatics",Remote,Illumina,Full-time,"Fluency in at least two of statistics, common bioinformatics methods, and NGS data analysis."
Sr. Research Data Analyst,None,Johns Hopkins University,"$55,200 - $96,600 a year","This will include analyzing large-scale datasets using advanced bioinformatic tools, developing and implementing novel computational approaches for data…"
"Manager, Customer Success Management, QDI (Bioinformatics Software and Knowledgebase Applications)",Remote,Qiagen,Full-time,"Proven experience in managing a team of Customer Success Managers or similar role in the pharmaceutical industry, preferably in the field of molecular biology…"
Computational Biologist - Biopharma,Remote,Ginkgo Bioworks,"$110,000 a year","First-hand technical experience in at least two of the following areas: synthetic biology, bioinformatics, data science, RNA biology, transcriptomics,…"
Sr Machine Learning Engineer,None,Amgen,"$142,425 - $184,988 a year","Strong software development (preferably, Python) and experience working with libraries and packages related to data manipulation, statistical analysis,…"
"Senior Statistical Programmer, Biomarker - FSP",Remote,IQVIA,Full-time,"Statistical programmers work collaboratively with bioinformatics, biomarker scientists, and data management to ensure the efficient, high-quality production of…"
Senior Statistical Programmer (Early Phase) - FSP,Remote,IQVIA,Full-time,We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world.
Full Stack Software Engineer - Rails / React,Remote,GenoFAB,"$75,000 - $115,000 a year","Experience working on life science problems such as bioinformatics, genomics, image processing, synthetic biology, systems biology."
"Staff Software Engineer, Infrastructure for Bioinformatics",Remote,Color,"$185,000 - $262,000 a year","You have a demonstrated interest in bioinformatics, computational biology or health data."
"Scientist, Assistant Bioinformatics, School of Medicine Neurology",None,Emory University,Full-time,"PhD in bioinformatics, computer science, biological or physical science and three years of experience."
Bioinformatics Research Analyst (Remote) - Pathology & Immunology,None,Washington University in St Louis,"$40,900 - $74,200 a year","Bachelor’s degree in computer science, bioinformatics, biostatistics, or related field plus two years of experience; OR master’s degree in computer science,…"
Senior Software Engineer,Remote,Azenta,None,"We provide unparalleled capabilities with our lab analysis, sample management and storage services, informatics software, and consumables, with the largest…"
"Principal Scientist, Computational Biology, Oncology Translational Research",None,Johnson & Johnson,"$131,000 - $225,000 a year","Experience in one or more of the following is required: high dimensional data integration and analysis, gene expression analysis, next generation sequencing…"
AI/ML Engineer - DNA & RNA design,None,Ginkgo Bioworks Inc.,"From $90,000 a year","PhD in artificial intelligence, computer science, synthetic biology, computational biology, genomics, bioinformatics, quantitative biology, chemical engineering…"
Data Scientist,Remote,Relevance Lab,None,"Core and Technical Competencies, to be successful in this role, you should:"
"Senior Scientist, Computational Biology, Oncology Translational Research",None,Johnson & Johnson,"$111,000 - $192,000 a year","Experience in one or more of the following is required: high dimensional data integration, gene expression analysis, next generation sequencing analysis,…"
Senior DevOps Engineer (Job Code 88327),Remote,Arcus Biosciences,"$140,000 - $190,000 a year",Position: Senior DevOps Engineer (Job Code 88327).
"Senior Scientist, Computational Biology",None,Insmed Incorporated,"$100,000 - $133,333 a year",Bioinformatics / computational biology required; computational structural biology or computational immunology helpful.
Senior Fullstack Engineer at Stealth Life Science Startup,None,a portfolio company of the AI2 Incubator,None,"Our founders each have ~20 years of experience in life sciences, genomic data generation and analysis, and AI/ML and data science."
Principal Machine Learning Researcher,Remote,Ginkgo Bioworks,"From $170,000 a year","Exposure to computational biology, bioinformatics, protein engineering, DNA synthesis, & more: very welcome but not required."
"Senior Software Engineer, Fullstack – Precision Care",Remote,Color,"$163,000 - $226,000 a year","Collaborate with product, design, data science, and our scientific teams to build cutting-edge experiences and services."
