Title,Location,Company,Salary,Rating,Summary,Description
Research Microbiologist,"Jefferson, AR",US Food and Drug Administration,"$92,143 - $119,787 a year",4.2,"Design all phases of research projects involving the development of new and/or modification of existing methods using molecular biology, metabolism, microbial…",None
Research Scientist,"Long Beach, CA",TPIRC/ Southern California Food Allergy Institute,None,2.9,This person will be responsible for conducting innovative research activities.The scientist will report directly to the Director of Research.,None
"Scientist, NGS","South Plainfield, NJ 07080","GENEWIZ, Inc.",None,3.4,"Carry on routine NGS lab duty including sample QC, library prep, and sequencing.Work closely with other team members to ensure timely and effectively…",None
"Scientist, Synthetic Biology","Cambridge, MA 02142 (East Cambridge area)","Flagship Pioneering, Inc.",None,None,The Synthetic Biology group is seeking a Scientist.The role will support the engineering and development of novel gene editing technologies using systems…,None
Associate Biocuration Scientist (3 Openings)new,"Stanford, CA",Stanford University,None,4.2,"Strong knowledge of genetics, molecular biology, or bioinformatics.This reference resource will make fundamental contributions to our understanding of human…",None
"Scientist, NGS","South Plainfield, NJ 07080",Genewiz,None,3.4,"Carry on routine NGS lab duty including sample QC, library prep, and sequencing.Work closely with other team members to ensure timely and effectively…",None
Assistant Professor in Pathogen and/or Microbiome Research,"Flagstaff, AZ 86001",The Translational Genomics Research Institute,None,None,"Additionally, in 2016, TGen joined forces with The City of Hope in California, allowing for direct connectivity to a large clinical research and delivery center…",None
Patent Scientist/Patent Agent - Winston-Salem,"Winston-Salem, NC 27101 (Westend area)",Kilpatrick Townsend & Stockton LLP,None,3.9,"Kilpatrick Townsend's Patent Prosecution team seeks a Patent Scientist or Patent Agent with a degree in Biology, Chemistry, or a related field.",None
Postdoctoral Associate - Data Science,"Houston, TX 77030 (Medical Center Area area)",Baylor College of Medicine,None,3.9,The position is intended for Computer Science or Computational Biology graduates transitioning to a data science and bioinformatics career.,None
Bioinformatics Trainer I/II,"Bethesda, MD 20892",Frederick National Laboratory,None,2.7,"A Masters’ or PhD degree in bioinformatics, molecular biology, genomics or similar.The Bioinformatics Trainer is responsible for providing bioinformatics…",None
Staff Scientist-Wu lab,United States,Scripps Research,None,4.3,Ph.D. in bioinformatics or in an appropriate scientific discipline required.This position will broadly contribute to the creation of bioinformatics tools and…,None
Research Biologist Computational (Research Associate)new,"Fargo, ND",US Agricultural Research Service,"$64,649 - $84,049 a year",None,"Develop semi-autonomous, high-throughput processes for bioinformatics analysis of large datasets.Specialized experience is fulfilled by one or more of the…",None
Scientific Software Developer,"San Diego, CA",UC San Diego,None,4.2,"Thorough knowledge of bioinformatics programming design, modification and implementation.Thorough knowledge of bioinformatics methods, applications programming…",None
Scientist I,"Seattle, WA",TwinStrand Biosciences,None,None,"Interact regularly with bioinformatics scientists for necessary custom analysis of data.REPORTS TO: Team Lead, Biochemistry and Genomic Technology.",None
"Scientist I, Translational Oncology and Clinical Reporting","Cambridge, MA","Foundation Medicine, Inc.",None,3.7,"The Scientist I, Translational Oncology and Clinical Reporting makes essential contributions both as an individual contributor and as part of a team in support…",None
Bioinformatics Trainer I/II,"Bethesda, MD 20892",Frederick National Laboratory,None,2.7,"A Masters’ or PhD degree in bioinformatics, molecular biology, genomics or similar.The Bioinformatics Trainer is responsible for providing bioinformatics…",None
Adjunct Faculty - Biology,"Baton Rouge, LA 70806 (Goodwood area)",State of Louisiana,None,3.4,"Acceptable disciplines and coursework include but are not limited to: agricultural sciences (i.e. agronomy), anatomy, biochemistry, biology, bioengineering,…",None
Patent Agent/Attorney; Computational Biology,"Cambridge, MA",Dyno Therapeutics,None,None,"Undergraduate degree in bioinformatics, computational biology, or related field.Graduate degree in bioinformatics, computational biology, or related field.",None
Research Biologist (Computational/Bioinformatics) (Research...,"Madison, WI",US Agricultural Research Service,"$64,649 - $84,049 a year",None,A research and training opportunity for aspiring and experienced computational biologists and microbiologists to develop workflows for metagenomics analysis.,None
Scientific Software Developer,"San Diego, CA",UC San Diego,None,4.2,"Thorough knowledge of bioinformatics programming design, modification and implementation.Thorough knowledge of bioinformatics methods, applications programming…",None
POSTDOC IN FOOD SAFETY AND MOLECULAR BIOLOGY,"Manhattan, KS 66506",K-State,$50 - $80 an hour,4.2,Involving in developing and verification of bioinformatics tool for food industrial users to predict resistance and gene expression in genome.,None
Research Scientist – Beta-cell Regeneration and Islet Cell T...,"Indianapolis, IN",Eli Lilly,None,4.2,"Working closely with bioinformatics scientists, in vitro and in vivo pharmacologists, chemists, manufacturing scientists and clinicians, you will identify and…",None
Data Scientist,"Framingham, MA 01701",BERG LLC,None,4.7,Statistical and bioinformatics analyses of high-throughput molecular data.The Data Scientist is a highly motivated and experienced individual who likes to work…,None
Bioinformatics Analyst,"Cambridge, MA",Invaio Sciences,None,None,"The ideal candidate will have expertise developing, managing, and running bioinformatics pipelines and be comfortable with a range of bioinformatics tools.",None
"Scientist II, Sustaining & Process Improvement (LUNAR)","Redwood City, CA 94063 (Harbor area)",Guardant Health,None,3.0,"Familiarity with commonly used bioinformatics tools in the analysis of NGS data.As a Scientist in the MRD technology organization, you will interface with…",None
Computational Biologist,"Cambridge, MA",Invaio Sciences,None,None,"Familiar with fundamental concepts in molecular biology, chemical biology, statistics, and bioinformatics.Invaio Sciences is seeking an innovative and highly…",None
