Title,Location,Company,Salary,Rating,Summary,Description
Estágio em Designer (Treinamento e Desenvolvimento),"São Paulo, SP",Giraffas,R$ 999 - R$ 1.000 por mês,None,ATENDIMENTO PELO CHAT PARA SUPORTE EM PLATAFORMA INTERNA EAD;Ensino Superior cursando ou interrompido (Obrigatório).,None
Estagio Designer e Comunicação Internanova,"São Paulo, SP",360 Benefícios,R$ 1.150 - R$ 1.500 por mês,None,"Estudo ou prática em técnicas de design gráfico;Divulgar o dia a dia da empresa nas Redes sociais.Cursando Design, Publicidade, Marketing, Jornalismo ou relacionadas.Boa noção de Marketing digital;",None
ESTÁGIO - DESIGNER,"Zona Central de São Paulo, SP",IEL/SC,None,None,"Cursos Jornalismo, Comunicação Social, Comunicação Social: Publicidade, Design, Comunicação Social: Mídias Digitais, Publicidade e Propaganda, Design Gráfico, DESIGN GRÁFICO E DE PRODUTO, Marketing,…",None
Estágio em Produçãonova,"São Paulo, SP",Estúdio Lumine,R$ 1.045 - R$ 1.500 por mês,None,"Atualmente, apenas o diretor de criação atua presencialmente no escritório.Requisitos Estar cursando 2º ou 3º ano de Publicidade, Propaganda e Marketing, Design Digital, Design Gráfico ou Comunicação…",None
Estágio em Redaçãonova,"São Paulo, SP",Mobly,None,"3,1","Formação em andamento em publicidade, jornalismo, design ou correlatas;Experiência ou familiaridade com o universo de decoração pode ser um diferencial!",None
Estágio Designernova,"Barueri, SP",Vertem,None,None,"Junto com a equipe de marketing, você vai desenvolver ideias, conceitos e materiais on e off-line para contribuir com o fortalecimento e posicionamento da marca e das demais marcas do grupo.",None
Estágio em Designnova,"São Paulo, SP",Página de carreiras,None,None,"Cursando Design ou áreas correlacionadas (3° a 8° semestre);Conhecimento em Adobe Photoshop, Illustrator, Premiere e Indesign;Gerir um restaurante e fazê-lo crescer é um desafio gigante.",None
Estágio em Arquitetura,"São Paulo, SP",iMove Carreira,R$ 1.500 por mês,None,"· Auxiliar no controle e execução dos projetos executivos de design de interiores; · Realizar visitas às obras, avaliando o andamento conforme cronograma, entrega de materiais e medições; ·…",None
Estágio em Arte e Criaçãonova,"São Paulo, SP",HYPERATIVA,R$ 1.045 - R$ 1.500 por mês,None,Desejável Adobe Photoshop e Illustrator; Sketch e Figma; Familiaridade com a plataforma MAC; Direção de arte para web/online; Inglês avançado/fluente; Apresentação de portfólio.,None
Estágio em RHnova,"São Paulo, SP",Duratex,None,"4,5","O nascimento da Hydra é marcado pela Inovação.Acompanhar o processo de recrutamento e seleção (divulgação de vagas, triagem de currículos, entrevistas, feedbacks, processo de admissão);",None
Programa de Estágio em Supply Chain | Transformadores Digita...,"São Paulo, SP",Exed Consulting,None,"4,0",Temos por propósito transformar o mundo por meio da tecnologia!Colocar a mão na massa para ajudar na implementação destas tecnologias em equipe;Cursar a faculdade com previsão de conclusão de Julho…,None
Estágio Design,"São Paulo, SP",VitalWork,None,None,"Elaborar campanhas e identidades visuais quando for necessário;Cursando o 6º período em diante de Design Gráfico.Experiência com Adobe Photoshop, Illustrator e Indesign;",None
Estágio de Mídias Digitais,"São Paulo, SP",VIMER RETAIL EXPERIENCE,R$ 800 - R$ 1.100 por mês,None,"Atuar no desenvolvimento de conteúdos para redes sociais.Atuar na criação de layouts, pesquisando referências visuais e estratégicas, para reports;",None
Estagiário de Produto,"São Paulo, SP",Worked,R$ 1.000 por mês,None,"Auxiliar o time de produto no design, desenvolvimento e controle das atividades relacionadas à criação e melhoria de cursos online.Auxiliar no design de conteúdo, convertendo o material desenvolvido…",None
Estágio em Design Gráfico,"São Paulo, SP",Mandarin,None,None,"Assim, o nosso objetivo é desenvolver estagiários para alcançarem a sua melhor versão.Junto com a equipe de criação, você vai desenvolver ideias, conceitos e materiais de campanhas on e off-line para…",None
ESTAGIO EM CRIAÇÃO E DESIGN,"São Paulo, SP",AlfaCon Concursos Públicos,None,"4,3","Nosso marketing atua como uma in-house.Habilidade com Pacote Office (Word, Excel e PowerPoint).",None
