Title,Location,Company,Salary,Rating,Summary,Description
Sustainability Analyst,"New York, NY 10010 (Flatiron District area)","Vidaris, Inc.",None,None,Train in areas related to sustainability\LEED activity;0-2 years’ experience in building; sustainability focus/experience is highly desirable;,None
"497827, Energy and Sustainability Analyst","San Diego, CA",California State University,"$4,693 - $8,489 a month",4.3,Two years of professional experience in energy/sustainability management and/or plant operations.Incumbent will also manage and analyze other sustainability…,None
Sustainability Analyst,"San Antonio, TX",Concurrent Technologies Corporation,None,3.7,CTC is seeking a sustainability analyst to support federal agency sustainability programs.Strong interest in energy and sustainability topics and enhancing…,None
"Senior Analyst, Sustainability","El Segundo, CA 90245",Mattel,None,4.0,"Collect and maintain sustainability/ESG data.Coordinate sustainability requests from investors, retail customers, and regulators.",None
Data Analystnew,"Washington, DC 20036 (Dupont Circle area)",Cushman & Wakefield,None,3.8,Research industry regulations related to energy and sustainability.Updating the national database of sustainability aspects for the C&W managed portfolio.,None
DATA ANALYSTnew,"Seattle, WA 98195 (University District area)",University of Washington,None,4.1,"The GBD’s aim is to provide policymakers, donors, and researchers with the highest-quality quantitative evidence base to make decisions that achieve better…",None
Environmental and Climate Justice Research and Policy Analys...,"Lexington, MA","Eastern Research Group, Inc.",None,None,"Conduct technical, scientific, and/or policy research and analyses.Support and lead research related to environmental and health data and GIS data.",None
Entry-Level Financial Analyst - Environmental Programs,"Arlington, VA 22201 (Clarendon-Courthouse area)","The Cadmus Group, Inc.",None,None,"Provide policy or financial analysis on issues related to water, wastewater, or storm-water utility financing and sustainability.",None
Data Analyst,"Richardson, TX 75082",RealPage,None,3.3,These services are key components to help our Clients monitor and control their energy costs as well as implement energy efficiency measures.,None
Analyst or Economist (Washington DC)new,"Washington, DC",Vivid Economics,"$60,000 - $84,000 a year",None,"31 days paid holiday per year, inclusive ofpublic holidays.As an Analyst or Economist at Vivid Economics,you will work on a mixture of quantitative analysis,…",None
"Research Investment Analyst, Sustainable and impact Investin...","San Francisco, CA",Cambridge Associates LLC,None,3.7,Familiarity and keen interest in impact and ESG investing (including sustainability and/or diversity).The Investment Analyst will conduct research across the…,None
"Senior Analyst, Sustainability","Houston, TX","Cheniere Energy, Inc.",None,3.8,"Bachelor’s degree in sustainability/environmental studies, environmental engineering or science with relevant coursework in climate science and policy,…",None
DATA EXTRACTION ANALYSTnew,"Seattle, WA 98195 (University District area)",University of Washington,None,4.1,"IHME carries out a range of projects within different research areas including the Global Burden of Diseases, Injuries, and Risk Factors; Future Health…",None
Environmental Monitoring Analyst - 12 hour Day Shift (7am -...,"Rocky Mount, NC",Pfizer,None,4.2,"The Environmental Monitoring (EM) Analyst performs analyses following specified instructions from supervisor, Standard Operating Procedures (SOPs), and…",None
Financial Analyst,"Atlanta, GA",BCD Travel Corporate,None,3.9,Experience in general accounting and/or financial analyst.In this role you prepare analysis to help management identify and understand the potential financial…,None
ESG Reporting Analyst,"Boston, MA",Wellington Management,None,4.1,"The Analyst will report to Adam Saidla who leads up our Client Reporting Solutions and Strategy Team.Producing high quality, accurate, and timely reporting is…",None
"Energy Markets & Sustainability Analyst - Boston, MA","Boston, MA",Veolia,None,3.6,"Provide energy market direction and advice for North American clients including advice for structuring of energy products, timing and structure for physical…",None
Automation Analyst,"Louisville, CO 80027",Charlotte's Web,None,3.6,"The Automation Analyst provides installation, troubleshooting, repair, and support for all automated manufacturing systems at the Charlottes Web manufacturing…",None
Zero Waste Analystnew,"Phoenix, AZ 85003 (Central City area)",City of Phoenix,None,4.2,"Bachelor’s degree in public administration, business administration, or sustainability.Four years of work experience in public administration, business…",None
Logistics Analystnew,"Richmond, VA",KBR,None,4.1,"Performs sustainability/obsolescence assessment on a system or subsystem to evaluate supply, reliability, logistics and readiness constraints.",None
"Environmental Analyst - Salt Lake City, UT","Salt Lake City, UT 84116 (Poplar Grove area)",PacifiCorp,None,3.2,"Conducts analysis through research, gathering and interpretation of data, development of alternatives and recommendations.",None
Environmental Analyst,"Livermore, CA 94550",Lawrence Livermore National Laboratory,None,4.1,"We have an opening for an Environmental Analyst to support within the Environment, Safety & Health (ES&H) Directorate, Waste and Air Quality Office.",None
Sustainability Analyst,"Acton, MA 01720",Insulet Corporation,None,3.1,"Knowledge of sustainability concepts, supply chain processes and business case design.Coordinates collection and management of sustainability data for analysis…",None
Management Analyst 3 - Sustainability Coordinatornew,"Saint Paul, MN",State of Minnesota,$24.03 - $35.24 an hour,3.6,"Knowledge of and experience working with environmental and sustainability issues.Lead, organize and coordinate a sustainability program for the DOC state-owned…",None
Institutional Research Analystnew,"New Gloucester, ME 04260",Unity College,None,4.1,"The Institutional Research Analyst provides leadership and performs necessary functions related to the collection, analysis, and interpretation of institutional…",None
Environmental Integration Analystnew,"Lake Buena Vista, FL","Disney Parks, Experiences and Products",None,4.2,"The analyst will develop and maintain positive relationships with partners and clients across WDW and DPEP.With a new set of company goals, this analyst will…",None
Financial Analyst,"Westminster, CO",Trimble,None,3.7,Trimble Agriculture provides solutions that solve complex technology challenges across the entire agricultural supply chain.Exposure to BI systems (Domo).,None
NCAPX Program Analystnew,Remote,Silvia Terra,None,None,Your role will use quantitative and qualitative research and analytical skills to ensure our operations continue to run smoothly as we scale up our company and…,None
Senior Financial Analyst Inew,"Boise, ID",Micron,None,3.7,"As a Financial Analyst within Central Business Unit (BU) Finance, a candidate will be responsible for supporting the Company’s BU Finance teams, long term…",None
ESG Reporting Analyst,"Boston, MA",Wellington Management,None,4.1,"The Analyst will report to Adam Saidla who leads up our Client Reporting Solutions and Strategy Team.Producing high quality, accurate, and timely reporting is…",None
Global Asset Allocation Analystnew,"New York, NY",Citi,None,3.9,Developing and maintaining Citi Global Wealth (Private Bank and Consumer Bank) capital market forecast models and computing/generating strategic return…,None
Research Analyst - Environmental Programs,"Waltham, MA 02451","The Cadmus Group, Inc.",None,None,"In addition, the position would be expected to provide policy and other general support.Candidates should also possess exceptional research, oral and written…",None
Analyst-Domestic Freightnew,"Dallas, TX 75039",Neiman Marcus,None,3.7,There are 38 full-line Neiman Marcus stores in cosmopolitan markets across the United States and a sophisticated digital platform that attracts shoppers…,None
Water Quality Environmental Analystnew,"Livermore, CA 94550",Lawrence Livermore National Laboratory,None,4.1,"You will provide comprehensive environmental regulatory compliance support in water quality, storm water, and surface water to LLNL programs as well as support…",None
Jr. Energy Engineer/Sustainability Analyst,"Washington, DC 20001 (Shaw area)",The Building People,None,4.3,This position will work as a project assistant in documenting sustainability compliance for federal clients such as GSA and developing deliverables reports for…,None
Financial Analyst Associate,"Novi, MI 48377",Lineage Logistics,None,3.2,As a critical member of the Field Finance team you will need to be highly effective at facilitating and leading cross-functional teams and building strong…,None
"Senior Analyst, Sustainability",Remote,The J. M. Smucker Company,None,3.8,"C oordinat e internal responses to stakeholder reporting requests related to supply chain sustainability topics - including surveys from customers, external…",None
Sr. Financial Analyst,"Wyoming, MN 55092",Polaris Inc.,None,None,"Primary areas of focus would be around Monthly Financial Reporting, FP&A Activities and business support.Collaborates with Central Engineering Teams to prepare…",None
Financial Analyst (Greenwood),"Hodges, SC 29653",Colgate-Palmolive,None,4.3,"This role is responsible mainly for Cost & Inventory activities.This position focuses on Future Costing, Fixed Assets and Inventory Analysis.",None
