Title,Location,Company,Salary,Rating,Summary,Description
"Co-op, Computational Sciences Bioinformatics",Remote,Moderna,None,3.8,"The Company’s platform builds on continuous advances in basic and applied mRNA science, delivery technology and manufacturing, providing Moderna the capability…",None
Early career data scientist / analyst / statistical genetici...,"Glen Echo, MD",Data Tecnica,None,None,"This position includes general analysis workflows with standard packages (python3, dash, PLINK, HAIL, etc) with responsibilities ranging from data science and…",None
Bioinformatics Associate,"Boston, MA",JOYN BIO,None,None,The Bioinformatics research associate will work as part of the computational biology and data science department in their efforts to provide bioinformatics…,None
Bioinformatics Associate,"Emeryville, CA 94608",Sound Agriculture,None,None,"A Master’s degree, or Bachelor’s with 2 years of working experience in bioinformatics or computational biology.",None
Virtual Nurse Educator (Remote - Nationwide)new,"Research Triangle Park, NC",United Therapeutics,None,3.8,The Virtual Nurse Educator (VNE) is an educational resource tasked to educate patients on United Therapeutics approved therapies and medical devices via virtual…,None
Summer Intern - Bioinformaticsnew,"Pleasanton, CA",Roche,None,4.2,"Provide custom bioinformatics analysis for NGS assay development.Collaborate and communicate results with bioinformatics, instrument, and assay development…",None
Associate Bioinformatics Programmer,"Rockville, MD 20850 (Town Center area)",EMMES,None,3.3,Emmes is seeking an Associate Bioinformatics Programmer to support studies with bioinformatics data management and analysis components.,None
Bioinformatics Database Developer,"Alameda, CA",Quest Diagnostics,None,3.6,"Significant experience with next-generation sequencing (NGS) data and bioinformatics analysis pipelines, testing/validating scripts, and other tools related to…",None
Scientist I - Project Management (Remote),Remote,Genewiz,None,3.3,A PhD in Molecular Biology or a related discipline is required.This is a non-bench role that works closely with customers and the lab in order to effectively…,None
"Summer Intern - Content Scientist, Bioinformatics","Santa Clara, CA",Roche,None,4.2,"You will work with our highly professional teams in content curation and bioinformatics, to help deliver a powerful clinical interpretation solution!",None
Bioinformatics Engineer,"Seattle, WA",TwinStrand Biosciences,None,None,"Architect and engineer processes that relate to bioinformatics data processing, laboratory information management, and large-scale dataset curation and analysis…",None
R&D Bioinformatician,"Houston, TX 77030 (Medical area)","OraSure Technologies, Inc.",None,3.3,"A clear passion of ‘omics science, data analysis, and problem solving.Team members who fill Bioinformatician roles will be responsible for the bioinformatic…",None
Data Sciences Consultants,"Atlanta, GA 30338",Baer Group,None,None,"The background experience would involve images analysis, genomic analysis, and bioinformatics.The Baer Group is looking for multiple Data Scientist Consultants…",None
Board Director Remote,Remote,Admera Health,None,3.2,Our goal is to fulfill unmet medical needs with cost-effective tests and accurate analysis that guide patient care by utilizing next generation genomics…,None
QA Analyst-1402-University of chicago,"Chicago, IL 60615 (East Hyde Park area)",ASAP Solutions,None,4.1,"Advanced degree in computer science,mathematics, statistics, engineering, or a relevant quantitative field preferred.",None
Clinical Genomic Scientist,"Houston, TX 77021 (Southeast area)",Baylor Genetics,None,2.4,"Knowledge of variant detection, molecular mechanisms of disease, functional assays and computational analysis.Experience with data quality assessment.",None
Data Sciences Consultants,"Atlanta, GA 30338",Baer Group,None,None,"The background experience would involve images analysis, genomic analysis, and bioinformatics.The Baer Group is looking for multiple Data Scientist Consultants…",None
Postdoctoral Research Associate,"Canyon, TX 79016",Texas A&M University,None,4.4,"Experience using bioinformatic and statistical analysis of microbiome, metagenomic, WGS and/or genomic sequencing data.Assist with training new lab personnel.",None
Senior Bioinformatics scientist,"Watertown, MA",Fluent BioSciences Inc,None,None,The candidate will be expected to proactively plan for the analysis of a variety of NGS data types and implement cutting edge analysis algorithms into…,None
Project Managernew,Remote,Intone Networks,None,4.2,Advanced/distributed computing Research programming techniques/languages (i.e. R & Python) Bioinformatics methods & pipelines Genome sequencing result sets…,None
Bioinformatics Database Developer,"Alameda, CA",Quest Diagnostics,None,3.6,"Significant experience with next-generation sequencing (NGS) data and bioinformatics analysis pipelines, testing/validating scripts, and other tools related to…",None
Data Scientist,Remote,SimulStat Incorporated,None,None,"This includes data preparation, data visualization, exploratory analysis and software development related to data science.",None
Research Assistant Professor (Multiple Positions),"Tucson, AZ",University of Arizona,"$85,000 - $110,000 a year",4.3,"Ph.D. in bioinformatics/computational biology, computer science, statistics, biostatistics, life sciences or related field.Full Time/Part Time Full Time.",None
"Group Leader, R&D","Watertown, MA",Fluent BioSciences Inc,None,None,"Demonstrated history of technical leadership and management experience of cross-functional teams spanning biology, engineering and bioinformatics.",None
Senior Data Scientist,Remote,ConcertAI,None,None,"PhD in a STEM field, with formal training in CS, stats, bioinformatics, computational biology, data science, physics or math.",None
NGS Field Application Scientist - Remote,"Coralville, IA 52241",Integrated DNA Technologies (IDT),None,None,"The NGS Application Scientist will provide technical field support for IDT’s xGen/NGS customers, regarding product design and end use.",None
Director Level - Technical Team Lead (R programming) for Dat...,"New York, NY 10003 (Flatiron District area)",Medidata Solutions,None,3.7,4+ years of experience with statistical analysis in a healthcare related field.Collaborate with product teams on product roadmaps and be accountable for…,None
Research Specialist | Division of Neuropharmacology and Neur...new,"Atlanta, GA 30322",Emory,None,3.9,Anthony Chan’s lab in a one-year limited position to develop gene editing therapy and investigate polyglutamine repeat instability in animal model and…,None
"VP, Pharma Business Development",Remote,Current Health Careers,None,None,"Serve as the primary point of contact for partners, interfacing to align Current Health’s offerings with client needs and selling new products and services to…",None
Patent Analyst - Biotechnology,"Evanston, IL","Cardinal Intellectual Property, Inc",None,3.5,Experience in proteomics or bioinformatics.They utilize their technical background and experiences to understand each invention or patent disclosure; and apply…,None
"Head, Data Science",Remote,Korro Bio,None,None,"This scientific leader will have deep expertise in computational biology and in discovery research.Effectively communicate scientific planning, progress and…",None
Senior Bioinformatics scientist,"Watertown, MA",Fluent BioSciences Inc,None,None,The candidate will be expected to proactively plan for the analysis of a variety of NGS data types and implement cutting edge analysis algorithms into…,None
Lead Data Manager,Remote,PRA Health Sciences,None,3.4,"High retention of team members and management means stable teams and positive program culture.Roles include embedded, dedicated leadership structure + all…",None
Research fellowship at Data Tecnica International with the M...,"Glen Echo, MD",Data Tecnica,None,None,"Comprehensive support and training will be provided as DTI and collaborators are specialized in various fields such as genetics, functional genomic screening,…",None
"VP, Pharma Business Development",Remote,Current Health Careers,None,None,"Serve as the primary point of contact for partners, interfacing to align Current Health’s offerings with client needs and selling new products and services to…",None
Data Steward,Remote,Genewiz,None,3.3,"The results of these audits should be communicated to the owner of the data, and tied into service level agreements (SLAs) between data entry personnel, IT, and…",None
Senior Project Leader (Vaccine/Infectious Disease) Home-Base...,"Rockville, MD 20850 (Town Center area)",EMMES,None,3.3,"Primary services include statistical design and analysis; bioinformatics support; implementation of Emmes’ proprietary software for electronic data collection,…",None
"Director, Structural Biology","Aliso Viejo, CA",Ambry Genetics,None,3.7,Develop novel features and innovative tools assisting clinical and genetic analysis on in house analysis platform.Manage a team of scientists and engineers.,None
Research Projects Coordinator 2,"Nashville, TN",Vanderbilt University Medical Center,None,3.8,"You will utilize intermediate level scientific knowledge and research skills to perform a variety of research and operations-related activities data management,…",None
Informatics Specialist II,"Rochester, MN 55901",Mayo Clinic,None,4.1,"Utilize scientific best practices when implementing, applying data analysis methods and interpreting the results of data analysis.",None
Principal Data Manager,"Los Angeles, CA 90064",Covance,None,3.2,Accountable or a contributor for CDM deliverables from protocol creation until release of data for analysis.Education/Qualifications: University/college degree…,None
"Lead Analyst Data Science, Remote Sensing","Scottsdale, AZ 85257 (South Scottsdale area)",Arizona State University,None,4.2,"Uses predictive modeling, statistics, trend analysis and other data analysis techniques to collect, explore, and identify the right data to be analyzed from…",None
"Global Key Account Manager, OSS","Hackensack, NJ 07601","Champions Oncology, Inc.",None,None,"Relevant experience in bioinformatics or biomarker discovery.Doctorate (PhD) in biological/medical or bioinformatic disciplines, or.",None
Clin Data Mgr I,"Boston, MA",Covance,None,3.2,Accountable or a contributor for CDM deliverables from protocol creation until release of data for analysis.Education/Qualifications: University/college degree…,None
CDM 1 (Lead External Data Specialist),"Philadelphia, PA 19102",Covance,None,3.2,Accountable or a contributor for CDM deliverables from protocol creation until release of data for analysis.Education/Qualifications: University/college degree…,None
