Title,Location,Company,Salary,Rating,Summary,Description
Bioinformatics Scientistnew,"Abbott Park, IL",Abbott Laboratories,None,4.0,Economic Profitability: Provide direction to project team to meet economic profitability (EP) profile for the project (product cost analysis).,None
Bioinformatics Specialistnew,"Lansing, MI",Michigan Public Health Institute (MPHI),"$68,000 - $80,000 a year",4.0,Maintain knowledge of bioinformatic pipelines that are being utilized in the community for analysis to independently verify that bioinformatic pipelines are…,None
Bioinformatics Analyst,"New Orleans, LA",Tulane University,None,4.1,"Bachelor's degree in bioinformatics, biostatistics, or a related field and previous experience in bioinformatics.Required Knowledge, Skills, and Abilities.",None
Bioinformatics Scientistnew,"Chapel Hill, NC 27599",University of North Carolina at Chapel Hill,None,4.1,"The candidate should be proficient in computer programming and analysis of genomic/next generation sequencing data sets, and have experience working with…",None
RVB Bioinformatician,"Atlanta, GA",BRS,None,3.5,"Develop new informatic approaches and optimize existing data analysis tools to improve viral genomics analysis.Atlanta, GA, USA Req #3005.",None
Bioinformatics Scientist,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,None,4.2,"Bachelor's degree in biological science, computational/programming, or related area and/or equivalent experience/training.Proficient in Python and/or R.",None
Bioinformatics Support Scientist,"San Francisco, CA 94016","Agilent Technologies, Inc.",None,4.1,We’re looking for a highly motivated bioinformatics scientist to join our remote Genomics Support team to help provide customer support on Agilent’s NGS…,None
Bioinformatics Scientist,"Scottsdale, AZ 85254 (North Scottsdale area)",Phoenix Children's Hospital,None,3.9,"Designs, develops, implements and maintains an automated bioinformatics infrastructure for clinical genomic data analysis.",None
Principal Data Scientist - Bioinformatics,"Champaign, IL",Nutrien Ltd.,"$91,000 - $130,000 a year",3.3,Be a thought leader for data science methods for bioinformatics and genetics.Technical proficiency with the development and deployment of NGS pipelines for…,None
Bioinformatics Analyst,"Miami, FL",University of Miami,None,4.1,"Generally applying existing pipelines to solve bioinformatics challenges, which includes troubleshooting, problem-solving, gathering requirements, analysis of…",None
Bioinformatics Scientist/Software Engineernew,"Cambridge, MA",Beam Therapeutics,None,None,Familiarity with common bioinformatics tools for NGS data analysis and working with “omics” datasets.The individual in this position will play a key role in…,None
Mass Spectrometry Specialist Bioinformatics & Computational...new,"Houston, TX 77030 (Medical Center Area area)",MD Anderson Cancer Center,None,4.1,"Process samples from investigators for LC-MS analysis.You understand that the organization constantly evolves, and you should as well.",None
Bioinformatics Analyst,"Cambridge, MA 02139 (The Port - Area 4 area)",Massachusetts General Hospital(MGH),None,4.3,"These projects will entail careful consideration of interfacing with clinical teams and sample handling, from sample receiving through RNA-seq library…",None
Field Bioinformatics Scientist - Southwestern US,"Little Rock, AR 72201",Thermo Fisher Scientific,None,3.5,"Possesses experience in two or more of the following fields: NGS sequencing analysis, genomics, genetics, gene expression analysis, sequence assembly, molecular…",None
Bioinformatics Analyst,"New York, NY 10021 (Upper East Side area)",Weill Cornell Medicine,None,4.0,Performs computational analysis of genomic data; writes computer code and scripts to implement analytical pipelines.Performs other related duties as assigned.,None
Bioinformatics Scientist,"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,None,4.2,"Bachelor's degree in biological science, computational/programming, or related area and/or equivalent experience/training.Proficient in Python and/or R.",None
Bioinformatics Scientistnew,"South San Francisco, CA 94080",Thermo Fisher Scientific,None,3.5,"PhD in computer science, computational biology, biostatistics, bioinformatics, or similar (MS considered for the candidate with the right experience).",None
Bioinformaticiannew,"Chicago, IL",The University of Chicago,None,4.1,"PhD in genetics, molecular biology, biochemistry, computer science, or data science.The Bioinformatician will work with Dr. Godley and the MM-VCEP performing…",None
Computational Scientist,"Cambridge, MA 02142 (MIT area)",Broad Institute,None,4.0,All computational scientists at Broad are encouraged to continue developing their expertise by engaging with the wider computational community through Broad's…,None
Computational Scientist,"Houston, TX 77030 (Medical Center Area area)",MD Anderson Cancer Center,None,4.1,"With proficiency in R, Linux and HPC, performs data analysis tasks on a variety of projects that include analysis, integration, interpretation and reporting of…",None
Bioinformatics Scientistnew,"Lexington, MA 02421",Agenus Inc,None,4.3,"Collaborate with biostatistics, data science, pharmacology, biomarkers and immunology teams.Agenus is seeking a Bioinformatics Scientist to focus on analysis,…",None
Bioinformatics Specialist,"University Park, PA 16802",Penn State University,None,4.3,Job description: A trained bioinformatics specialist or student is sought to conduct genome sequence alignment and gene annotation.,None
Bioinformatics Analyst,"Miami, FL",University of Miami,None,4.1,"Generally applying existing pipelines to solve bioinformatics challenges, which includes troubleshooting, problem-solving, gathering requirements, analysis of…",None
Bioinformatician,"Boston, MA",Harvard University,None,4.3,Deep passion for science and for the promise of gene therapy as a therapeutic modality.First-generation gene therapy vectors lack optimal regulatory elements…,None
Bioinformatics Analyst,"Charlestown, MA 02129",Massachusetts General Hospital(MGH),None,4.3,"Strong programming skills and experience in computational data analysis (e.g. using any of Matlab, R, Java, Python, Perl, C++).",None
Bioinformatics Scientist,"San Diego, CA",Illumina,None,3.6,Statistical and population genetics analysis of large datasets.Strong communication skills and ability to describe complex analysis to a wide audience.,None
Bioinformatics Specialist,"Duarte, CA 91010",City of Hope,None,3.8,Apply bioinformatics and statistical analysis methods to large scale genomic data analysis.3+ years of relevant experience in applying statistical and…,None
Bioinformatics Specialist,"Stillwater, OK 74074",Oklahoma State University,"$55,152 - $82,716 a year",4.2,Although most of the projects will deal directly with the analysis of DNA and RNA sequence data the individual should be well versed in other types of data…,None
"Scientist, Computational Biology","Cambridge, MA 02142 (East Cambridge area)","Flagship Pioneering, Inc.",None,None,"The ideal candidate has a strong background in virology, genetics, and multi-omics data analysis, has experience in both developing new methodologies and…",None
Bioinformatics Analyst,"Atlanta, GA 30322",Emory University,None,4.1,"Two years of experience in bioinformatics and/or computational chemistry.Maintains software, hardware and the network in a bioinformatics setting or molecular…",None
Bioinformatics Specialist,"Stillwater, OK 74074",Oklahoma State University,"$55,152 - $82,716 a year",4.2,Although most of the projects will deal directly with the analysis of DNA and RNA sequence data the individual should be well versed in other types of data…,None
Translational Medicine Bioinformatic Scientist,"Cambridge, MA 02140",Pyxis Oncology,None,None,Are you interested in learning more about Pyxis? We are always available to answer any questions you may have and encourage you to contact us here…,None
Scientist - Target Information Groupnew,"Tarrytown, NY 10591",Regeneron,None,3.7,"Working as a member of TIG, utilizing expertise in bioinformatics (BFX) and metabolic systems, we expect this person will conduct in-depth analysis of protein…",None
Bioinformatics Support Scientist,"San Francisco, CA 94016","Agilent Technologies, Inc.",None,4.1,We’re looking for a highly motivated bioinformatics scientist to join our remote Genomics Support team to help provide customer support on Agilent’s NGS…,None
Computational Scientist I,"South San Francisco, CA 94080",Myriad Genetics Inc.,None,3.5,"Use rigorous data science and modern software best practices to create efficient, reliable, and optimized bioinformatics pipelines.",None
Computational Scientist-Immunoengineering,"Chicago, IL 60637 (Woodlawn area)",The University of Chicago,None,4.1,"Develops, applies, documents, and maintains computational tools, both for own use and to support analysis by biologist colleagues without formal computational…",None
"(Sr) Scientist, Computational Biology","Cambridge, MA",SENDA Biosciences,None,None,Demonstrated experience leveraging computational biology/bioinformatics to work in a closely integrated interdisciplinary team and derive actionable biological…,None
Bioinformatics and Computational Biology Staff Scientist,"Marlborough, MA 01752 (Old Mitchell School area)",Quest Diagnostics,None,3.6,"The Bioinformatics/ Computational Biology Staff Scientist will evaluate, develop, validate, and implement new next-generation sequencing (NGS) data analysis…",None
"Scientist/Senior Scientist, Computational Biology and Bioinf...","Cambridge, MA 02139 (Cambridgeport area)",Jounce Therapeutics,None,4.0,"Experience with machine learning, statistical modeling, and/or pathway/network analysis is beneficial.This position will take ownership of our high-performance…",None
